,Name,Sex
537,Antonio Cabrales,1
538,Antonio Ciccone,1
539,Antonio Doblas-Madrid,1
540,Antonio E. Bernardo,1
541,Antonio Fatás,1
542,Antonio Guarino,1
543,Antonio J. Morales,1
544,Antonio Ladrón-de-Guevara,
545,Antonio Mele,
546,Antonio Merlo,1
547,Antonio Penta,1
548,Antonio Rangel,1
549,Antonio Spilimbergo,1
550,Antoon van den Elzen,
551,Anup Malani,1
552,Aprajit Mahajan,1
553,April M. Franco,0
554,Ar-Young Wang,1
555,Archishman Chakraborty,1
556,Ardeshir J. Dalal,
557,Argia M. Sbordone,0
558,Ari Kuncoro,1
559,Arie Beresteanu,1
560,Arie Kapteyn,1
561,Arie Melnik,1
562,Arie P. Schinnar,
563,Ariel Burstein,1
564,Ariel Pakes,1
565,Ariel Rubinstein,1
566,Ariel T. Burstein,1
567,Ariel Tomás Burstein,1
568,Ariel Zetlin-Jones,1
569,Ariell Reshef,1
570,Arijit Mukherji,1
571,Arijit Sen,1
572,Arindrajit Dube,1
573,Aris Protopapadakis,1
574,Ariél Pakes,
575,Arja H. Turunen-Red,0
576,Arleen Leibowitz,0
577,Arline T. Geronimus,0
578,Arlington W. Williams,1
579,Armando Gomes,1
580,Armen Alchian,1
581,Armin Falk,1
582,Arnaud Costinot,1
583,Arnaud Dupuy,1
584,Arno Riedl,1
585,Arnold A. Heggestad,
586,Arnold C. Harberger,1
587,Arnold H. Packer,
588,Arnold Zellner,1
589,Arnoud W. A. Boot,1
590,Arpit Gupta,1
591,"Arthur A. Eubank, Jr.",
592,Arthur A. Small,1
593,Arthur A. Stone,1
594,Arthur A. van Benthem,1
595,Arthur De Vany,
596,Arthur E. Gandolfi,
597,Arthur Fishman,1
598,Arthur Havenner,
599,Arthur J. Alexander,
600,Arthur J. Gartaganis,1
601,Arthur J. Hosios,1
602,Arthur J. Robson,1
603,Arthur J. Rolnick,1
604,Arthur Lewbel,1
605,"Arthur P. Hurter, Jr.",1
606,Arthur Robson,1
607,Arthur S. De Vany,1
608,Arthur S. Goldberger,1
609,Arthur Smithies,1
610,Arthur Snow,1
611,Arthur Van Soest,
612,Arthur van Soest,1
613,Artur Raviv,1
614,Artyom Shneyerov,1
615,Arunava Sen,1
616,Arvil V. Adams,
617,Arvind Krishnamurthy,1
618,Arvind Panagariya,1
619,Arye L. Hillman,1
620,Asaf Zussman,1
621,Asen Ivanov,1
622,Asen Kochov,1
623,Asger Lunde,1
624,Asha Sadanand,
625,Asher Wolinsky,1
626,Ashiq Hussain,1
627,Ashok Kotwal,1
628,Ashok S. Rai,
629,Ashoka Mody,1
630,Asim Ijaz Khwaja,1
631,Assaf Razin,1
632,Assar Lindbeck,1
633,Astri Drange Hole,0
634,Asuman Ozdaglar,0
635,Athanasios Orphanides,1
636,Atif Mian,1
637,Atila Abdulkadiroğlu,1
638,Atila Abdulkadiroǧlu,
639,Atish R. Ghosh,1
640,Atonu Rabbani,1
641,Atsushi Kajii,1
642,Atsushi Ohyama,1
643,Attila Ambrus,1
644,Aubhik Khan,1
645,Audra J. Bowlus,0
646,Audrey Guo,0
647,Augustin Landier,1
648,Aurélien Baillon,1
649,Austan Goolsbee,1
650,Avery M. Guest,1
651,Avi Goldfarb,1
652,Avi Simhon,1
653,Avi Wigderson,1
654,Avia Spivak,0
655,Aviad Heifetz,1
656,Avinash Dixit,1
657,Avinash K. Dixit,1
658,Avinatan Hassidim,1
659,Avishay Braverman,
660,Aviv Nevo,1
661,Avner Bar-Ilan,1
662,Avner Ben-Ner,1
663,Avner Greif,1
664,Avner Shaked,1
665,Avner Shared,1
666,Axel Anderson,1
667,Axel Mossin,1
668,Axel Ockenfels,1
669,Ayman Hindy,1
